epoch,train_loss,train_same_layer_similarity,train_diff_layer_similarity,train_similarity_gap,val_loss,val_same_layer_similarity,val_diff_layer_similarity,val_similarity_gap,negative_margin_violation_rate
1,0.33763149604201315,0.6802623866498471,0.6669740779697895,0.013288308680057592,0.3386403024196625,0.7442352771759033,0.7241405248641968,0.020094752311706543,1.0
2,0.32851383462548256,0.6804977706074715,0.6545142176747322,0.02598355293273935,0.3312479257583618,0.7313053011894226,0.6975049376487732,0.033800363540649414,1.0
3,0.32097194239497184,0.6838645166158677,0.6403975892066955,0.04346692740917213,0.32157716155052185,0.7293020486831665,0.6750785708427429,0.054223477840423584,1.0
4,0.3115299215912819,0.6867485931515693,0.6195368826389313,0.06721171051263808,0.30585113167762756,0.7369269728660583,0.6479265093803406,0.08900046348571777,0.99984375
5,0.30201014056801795,0.6943514376878739,0.602113569676876,0.09223786801099787,0.29712530970573425,0.7382373213768005,0.6226295232772827,0.11560779809951782,0.9984375
6,0.2888991732895374,0.7011633348464966,0.5750847125053405,0.12607862234115608,0.2915189266204834,0.7342450022697449,0.5985710620880127,0.13567394018173218,0.9934375
7,0.2813134843111038,0.708868223130703,0.5599664966762066,0.1489017264544964,0.27554434537887573,0.7276802062988281,0.5494459271430969,0.1782342791557312,0.9815625
8,0.27234038479626177,0.7155852127075195,0.5401036423444748,0.17548157036304468,0.2728971540927887,0.7505546808242798,0.5638226270675659,0.18673205375671387,0.97328125
9,0.26429461382329467,0.7230069610476494,0.5234072797000409,0.19959968134760853,0.270076185464859,0.7459574937820435,0.5375975966453552,0.20835989713668823,0.96046875
10,0.2593281913548708,0.7270602744817733,0.5119918893277645,0.21506838515400883,0.26263633370399475,0.7626217007637024,0.5424855947494507,0.2201361060142517,0.95578125
11,0.25060540735721587,0.7340515103936195,0.4930959504842758,0.2409555599093437,0.2602434456348419,0.7464036345481873,0.49167105555534363,0.25473257899284363,0.91484375
12,0.24431141406297685,0.7412043297290802,0.476151557713747,0.2650527720153332,0.2568243443965912,0.7565219402313232,0.49554720520973206,0.2609747350215912,0.9171875
13,0.24046666897833346,0.7457646554708481,0.4692586927115917,0.27650596275925643,0.25228622555732727,0.7480946183204651,0.46254250407218933,0.28555211424827576,0.891875
14,0.23599644869565964,0.7492079880833625,0.4568479977548122,0.2923599903285503,0.25223904848098755,0.7428198456764221,0.44532737135887146,0.29749247431755066,0.87171875
15,0.2327794624865055,0.7522386258840561,0.448365703523159,0.3038729223608971,0.24979518353939056,0.7680214047431946,0.4931434988975525,0.2748779058456421,0.91421875
16,0.22701296396553516,0.7581595307588578,0.43592938393354413,0.32223014682531365,0.2511030435562134,0.7580609321594238,0.4602792263031006,0.29778170585632324,0.87015625
17,0.22239699020981787,0.7610270947217941,0.42284743428230287,0.3381796604394912,0.2504984736442566,0.7659896612167358,0.4593198299407959,0.30666983127593994,0.86859375
18,0.2190009581297636,0.7642390587925911,0.41194630950689315,0.352292749285698,0.24442461133003235,0.7607799768447876,0.4365803599357605,0.3241996169090271,0.8540625
19,0.2159804354608059,0.7697228279709816,0.4056896185874939,0.36403320938348765,0.2446022778749466,0.7739884853363037,0.44953811168670654,0.32445037364959717,0.85125
20,0.21375516213476659,0.7715501469373703,0.39844553768634794,0.3731046092510224,0.24095359444618225,0.767803966999054,0.43716180324554443,0.3306421637535095,0.85890625
21,0.2116416524350643,0.7744984173774719,0.393106742054224,0.3813916753232479,0.24361783266067505,0.7657084465026855,0.41805580258369446,0.3476526439189911,0.82390625
22,0.2062200540304184,0.7797989365458489,0.3775397251546383,0.40225921139121057,0.25167781114578247,0.7382750511169434,0.37072300910949707,0.3675520420074463,0.78390625
23,0.2065573612600565,0.7805824849009514,0.37742369771003725,0.40315878719091414,0.2400510013103485,0.7597755193710327,0.3886958956718445,0.37107962369918823,0.791875
24,0.20121961928904056,0.7836933961510658,0.3647116334736347,0.4189817626774311,0.2391626387834549,0.7772988677024841,0.4281657338142395,0.34913313388824463,0.83
25,0.1996366610378027,0.7858935317397118,0.3577254801988602,0.4281680515408516,0.23246479034423828,0.776456892490387,0.4100889563560486,0.3663679361343384,0.82515625
26,0.19707359202206134,0.7889770925045013,0.3514479622244835,0.43752913028001783,0.23677827417850494,0.763010561466217,0.3812642991542816,0.3817462623119354,0.79046875
27,0.19565614968538284,0.7907397949695587,0.34516944773495195,0.44557034723460676,0.2413577288389206,0.7683555483818054,0.3854936957359314,0.382861852645874,0.78203125
28,0.19283600762486458,0.7931261214613915,0.3376866579055786,0.4554394635558129,0.24077434837818146,0.7586370706558228,0.35556134581565857,0.4030757248401642,0.7628125
29,0.19189645282924175,0.7948440098762513,0.334283961802721,0.46056004807353024,0.23951461911201477,0.7628552317619324,0.36473387479782104,0.39812135696411133,0.7646875
30,0.18817918628454208,0.7987262737751007,0.3229400749504566,0.4757861988246441,0.24429328739643097,0.7551417350769043,0.33884796500205994,0.41629377007484436,0.73421875
31,0.18657806441187857,0.8002436468005181,0.3153378967195749,0.48490575008094317,0.2427138388156891,0.7577337622642517,0.34105461835861206,0.41667914390563965,0.7440625
32,0.18655149713158609,0.8025596797466278,0.3140003405511379,0.4885593391954899,0.2379273623228073,0.7577651739120483,0.34631165862083435,0.411453515291214,0.75265625
33,0.18213670700788498,0.804332608282566,0.3060587663203478,0.49827384196221824,0.23978501558303833,0.7565751671791077,0.3360607922077179,0.42051437497138977,0.7421875
34,0.1812793453782797,0.8057286092638969,0.30007225178182123,0.5056563574820756,0.23304544389247894,0.7800710797309875,0.37885838747024536,0.4012126922607422,0.78171875
35,0.18168325275182723,0.8072572788596153,0.3024624379724264,0.504794840887189,0.23580950498580933,0.7644082903862,0.34654226899147034,0.4178660213947296,0.75546875
36,0.17953193917870522,0.8091247114539146,0.2965729236602783,0.5125517877936363,0.239796981215477,0.761965811252594,0.3586019277572632,0.4033638834953308,0.75890625
37,0.17570472501218318,0.8104816433787346,0.28252776242792604,0.5279538809508086,0.24447086453437805,0.754994809627533,0.31914469599723816,0.4358501136302948,0.718125
38,0.17608269527554513,0.8118388250470161,0.28156168669462206,0.5302771383523941,0.2361079454421997,0.7592947483062744,0.328242689371109,0.4310520589351654,0.73546875
39,0.17519224099814892,0.8131542780995369,0.2769288333505392,0.5362254447489977,0.24386271834373474,0.7554399371147156,0.3181570768356323,0.43728286027908325,0.71609375
40,0.17490193709731103,0.8147206073999405,0.27583053141832353,0.5388900759816169,0.24285487830638885,0.7540078163146973,0.31109315156936646,0.4429146647453308,0.71328125
