epoch,train_loss,train_same_layer_similarity,train_diff_layer_similarity,train_similarity_gap,val_loss,val_same_layer_similarity,val_diff_layer_similarity,val_similarity_gap,negative_margin_violation_rate
1,0.30552402660250666,0.6963102258741856,0.684028690457344,0.012281535416841516,0.30624812841415405,0.7589985728263855,0.7404648065567017,0.018533766269683838,1.0
2,0.29684400007128714,0.6964092329144478,0.6725150799751282,0.023894152939319624,0.29967182874679565,0.7468880414962769,0.7159683108329773,0.03091973066329956,1.0
3,0.2902901367843151,0.6995472845435142,0.659670639038086,0.03987664550542824,0.29136642813682556,0.7453504800796509,0.6960252523422241,0.04932522773742676,1.0
4,0.2820159314572811,0.7020490378141403,0.6403371706604958,0.06171186715364452,0.277245432138443,0.7517375349998474,0.6700850129127502,0.08165252208709717,0.99984375
5,0.2735589063167572,0.7089622035622597,0.6239427882432937,0.08501941531896595,0.26928576827049255,0.7521722912788391,0.6453700065612793,0.10680228471755981,0.99859375
6,0.2617902497947216,0.7153181859850883,0.598334869146347,0.1169833168387413,0.2640644311904907,0.7482154965400696,0.6225043535232544,0.12571114301681519,0.99390625
7,0.2548312026262283,0.7225834918022156,0.5837240847945213,0.13885940700769428,0.24943694472312927,0.7418522834777832,0.5746179819107056,0.16723430156707764,0.980625
8,0.24666137203574182,0.7289296418428421,0.5645601400732994,0.1643695017695428,0.24703127145767212,0.7631741166114807,0.588483452796936,0.17469066381454468,0.974375
9,0.23936036646366118,0.7360360535979271,0.5485146923363209,0.18752136126160623,0.2443724125623703,0.7588809132575989,0.562944233417511,0.1959366798400879,0.9609375
10,0.2347848868370056,0.7398054361343384,0.537388553917408,0.20241688221693033,0.23775814473628998,0.7745251655578613,0.567870557308197,0.2066546082496643,0.9565625
11,0.2268637415766716,0.7464001250267028,0.5192387789487839,0.22716134607791894,0.23535393178462982,0.7589887976646423,0.5184537768363953,0.24053502082824707,0.91578125
12,0.22119023598730564,0.7532101890444756,0.5030043859779835,0.2502058030664921,0.23204462230205536,0.7677187919616699,0.5202347636222839,0.247484028339386,0.914375
13,0.21763821691274643,0.7574772003293038,0.4961214628815651,0.26135573744773866,0.22794213891029358,0.76070237159729,0.49016696214675903,0.270535409450531,0.89234375
14,0.2136034896969795,0.760808530151844,0.4842234307527542,0.2765850993990898,0.22812271118164062,0.7562510967254639,0.4748428463935852,0.28140825033187866,0.87203125
15,0.21068270161747932,0.763594636619091,0.4759342281520367,0.2876604084670543,0.2258554846048355,0.7798068523406982,0.5198065042495728,0.2600003480911255,0.91359375
16,0.20544182918965817,0.7692283150553704,0.46395952597260476,0.3052687890827656,0.22675544023513794,0.7698350548744202,0.4869522154331207,0.28288283944129944,0.86875
17,0.2012020716816187,0.7719016665220261,0.45118978634476664,0.32071188017725943,0.2261950522661209,0.7774649262428284,0.4857068955898285,0.2917580306529999,0.86765625
18,0.1981924530863762,0.7749708592891693,0.44088401809334754,0.33408684119582177,0.22081588208675385,0.7730044722557068,0.46496689319610596,0.30803757905960083,0.85390625
19,0.19533921130001544,0.7802835687994957,0.43426785856485367,0.346015710234642,0.22066383063793182,0.7854227423667908,0.477140337228775,0.30828240513801575,0.850625
20,0.19332727022469043,0.7819969755411148,0.4272455735504627,0.3547514019906521,0.21780069172382355,0.779049813747406,0.46403518319129944,0.31501463055610657,0.85609375
21,0.19157805696129798,0.7848750954866409,0.4226561330258846,0.3622189624607563,0.2201152741909027,0.7773879766464233,0.4469183385372162,0.33046963810920715,0.824375
22,0.18628952600061893,0.7897460740804673,0.40638683930039404,0.3833592347800732,0.2271905094385147,0.7521485090255737,0.4022652506828308,0.3498832583427429,0.78390625
23,0.18669686526060103,0.7907738050818444,0.4063387970626354,0.38443500801920893,0.21670278906822205,0.7710968255996704,0.4171566665172577,0.3539401590824127,0.79140625
24,0.18191517814993857,0.7935312506556511,0.3942489457130432,0.3992823049426079,0.21638613939285278,0.7884185314178467,0.4561992585659027,0.33221927285194397,0.828125
25,0.1805341751128435,0.7957282796502113,0.38790149733424184,0.40782678231596947,0.21016930043697357,0.7876126170158386,0.4395957887172699,0.3480168282985687,0.8228125
26,0.17812694989144803,0.7986077311635017,0.3812206608057022,0.4173870703577995,0.21416930854320526,0.7755334377288818,0.41256117820739746,0.3629722595214844,0.78953125
27,0.1767442601919174,0.8003994962573051,0.3750239560008049,0.4253755402565002,0.21790188550949097,0.7785500288009644,0.4109722971916199,0.3675777316093445,0.77578125
28,0.1742698109894991,0.8025990331172943,0.3678080794215202,0.4347909536957741,0.21759535372257233,0.7702938914299011,0.38761112093925476,0.38268277049064636,0.7628125
29,0.17354382194578646,0.8041191649436951,0.3646885457634926,0.4394306191802025,0.21717911958694458,0.7734085321426392,0.39436858892440796,0.3790399432182312,0.76484375
30,0.1700733593478799,0.807914699614048,0.3533209788799286,0.45459372073411947,0.22108320891857147,0.7664325833320618,0.36806926131248474,0.398363322019577,0.72921875
31,0.1686184188723564,0.8093251329660416,0.34576398946344855,0.46356114350259303,0.2203081101179123,0.7682501077651978,0.3696625530719757,0.39858755469322205,0.74265625
32,0.16848367229104041,0.8116515246033669,0.34391041703522207,0.4677411075681448,0.21522431075572968,0.7700942754745483,0.378986656665802,0.39110761880874634,0.75390625
33,0.16446303807199,0.8133773908019066,0.3367993402481079,0.4765780505537987,0.2174459844827652,0.7678596377372742,0.36528128385543823,0.40257835388183594,0.739375
34,0.16363489530980588,0.8146027547121047,0.3302204900979996,0.48438226461410516,0.21063962578773499,0.7900205850601196,0.4050308167934418,0.38498976826667786,0.778125
