epoch,train_loss,train_same_layer_similarity,train_diff_layer_similarity,train_similarity_gap,val_loss,val_same_layer_similarity,val_diff_layer_similarity,val_similarity_gap,negative_margin_violation_rate
1,0.4319128113985062,0.8349333181977272,0.8299411706626415,0.0049921475350857,0.4242073893547058,0.8886820077896118,0.8815749287605286,0.007107079029083252,1.0
2,0.4153898015618324,0.8384718063473702,0.8295551741123199,0.008916632235050237,0.41862666606903076,0.8744113445281982,0.8630602955818176,0.011351048946380615,1.0
3,0.41232152938842775,0.8382713776826859,0.8236283084750176,0.014643069207668336,0.41758978366851807,0.8824086785316467,0.866403341293335,0.016005337238311768,1.0
4,0.4079931604862213,0.8374115505814552,0.8141495540738106,0.0232619965076446,0.4063652455806732,0.8743574619293213,0.8430927395820618,0.03126472234725952,1.0
5,0.4026291635632515,0.8376760655641555,0.804055605828762,0.033620459735393515,0.4005826711654663,0.8724926114082336,0.8299476504325867,0.04254496097564697,1.0
6,0.3925809465348721,0.8364020451903343,0.7831288194656372,0.05327322572469717,0.3903539776802063,0.8593922257423401,0.7971065044403076,0.06228572130203247,1.0
7,0.3820256242156029,0.837538942694664,0.7621010851860046,0.07543785750865939,0.3724929690361023,0.8546082973480225,0.7565737962722778,0.09803450107574463,1.0
8,0.37100925847887994,0.8386601001024246,0.7390434551239013,0.0996166449785233,0.3675968647003174,0.8604870438575745,0.7494106292724609,0.11107641458511353,1.0
9,0.35933285698294637,0.8423309698700905,0.7162135550379753,0.12611741483211514,0.36246371269226074,0.8614243865013123,0.7342344522476196,0.12718993425369263,0.9990625
10,0.3508076986670494,0.8445342960953712,0.6995664349198342,0.14496786117553706,0.35041484236717224,0.8706430792808533,0.7235403656959534,0.1471027135848999,0.99828125
11,0.33934993132948876,0.846990724503994,0.6766337233781815,0.17035700112581253,0.3474012613296509,0.8536831140518188,0.668234646320343,0.18544846773147583,0.985625
12,0.3304046128690243,0.8507397586107254,0.6566093382239342,0.19413042038679118,0.341105580329895,0.8567693829536438,0.6611815690994263,0.19558781385421753,0.98359375
13,0.3224690201878548,0.8538174533843994,0.6418474850058555,0.21196996837854387,0.33874815702438354,0.8534971475601196,0.6361738443374634,0.21732330322265625,0.9734375
14,0.315294574201107,0.8565861976146698,0.6255535864830017,0.23103261113166806,0.33449432253837585,0.855580747127533,0.6255725622177124,0.23000818490982056,0.95625
15,0.3104946042597294,0.8586063179373741,0.614429602921009,0.24417671501636506,0.3333708643913269,0.866463303565979,0.6549382209777832,0.2115250825881958,0.98
16,0.3034278753399849,0.8623128843307495,0.6015091204643249,0.26080376386642456,0.33118683099746704,0.8579270839691162,0.6143804788589478,0.24354660511016846,0.95140625
17,0.29703059792518616,0.8637106743454933,0.5857106658816338,0.2780000084638595,0.33483612537384033,0.8610131740570068,0.6082002520561218,0.252812922000885,0.935
