epoch,train_loss,train_retrieval_accuracy,val_loss,val_retrieval_accuracy
1,6.270597058373529,0.002840019781394182,6.142058748947947,0.0038133223884199794
2,6.1934929538417505,0.003577007690280978,6.127415130012913,0.0035513980363152528
3,6.17179232674676,0.003393607528729213,6.116418888694362,0.004322368431052095
4,6.151754340609989,0.0035651658057562403,6.098385534788433,0.004275904625262085
5,6.13677081546268,0.004052769603534929,6.084245480989155,0.004378700677893664
6,6.11911880647814,0.003961746977340128,6.07362699508667,0.005098273046314716
7,6.107889729577142,0.004412470209236081,6.0677359480606885,0.005098273046314716
8,6.092933274604179,0.004901428920896472,6.059580376273708,0.004694490154322825
9,6.0819198956360685,0.004924435231431916,6.044094336660285,0.005252467125262085
10,6.069009703558844,0.005032719364641486,6.041448041012413,0.005411595400226743
11,6.055765132646303,0.006152414207069858,6.032429017518696,0.005976973689700428
12,6.043968522870863,0.0063980858823334845,6.019704241501658,0.005614720382972767
13,6.030500521530977,0.006302998527079015,6.012599041587428,0.005874177637068849
14,6.015748906779933,0.0066281761218969885,6.001516643323396,0.006801809233270194
15,6.0006994621173755,0.007025434742555828,5.993353542528655,0.006131167768647796
16,5.989354069168503,0.007460928824100946,5.9884888498406665,0.006796874988235925
17,5.976576888883436,0.00795191989557163,5.97871544486598,0.007261924347595165
18,5.967624690081622,0.008028390823636909,5.971040901384856,0.007208059198762241
19,5.947146286835542,0.008626311111289102,5.959488266392758,0.007927631567183294
20,5.937126630061382,0.009150118019582855,5.958109328621312,0.00808675989116493
21,5.91973775141948,0.009559895969121842,5.9444429497969775,0.008395148049059668
22,5.905574747034021,0.010257970969620589,5.940767765045166,0.007937499959217874
23,5.894643616031956,0.010489090924730172,5.93740681598061,0.008343750022743878
24,5.882831708804981,0.010499577918970908,5.926439235084935,0.00866447369519033
25,5.87113500285793,0.011367856273175898,5.920588894894249,0.008757401257753372
26,5.85990969554798,0.012361002834262075,5.927105451885023,0.010096217064481033
27,5.842940343392862,0.01151640823966748,5.92462000093962,0.009278782888462669
28,5.830482611785063,0.012577571125852095,5.936551846955952,0.00896299336301653
29,5.815742821306796,0.013548713982910724,5.911100688733552,0.010573601938391986
30,5.80188452875292,0.013877278848274334,5.934324841750295,0.00886019731038495
31,5.788610445486532,0.014556412257858226,5.914457045103374,0.009795230274137697
32,5.785221827996744,0.014260663223024961,5.904180325959858,0.010722861870339042
33,5.767745887910998,0.016183004739719467,5.907196973499499,0.01000328950191799
34,5.755209220422281,0.015834468567894923,5.899829914695339,0.010157483580865358
35,5.739824533462524,0.01706380246056093,5.918730685585423,0.010517269765075884
36,5.728367895693393,0.017563248128705734,5.916684502049496,0.010155016458348223
37,5.720031422537726,0.017921593820525182,5.906341853894685,0.009633634827638926
38,5.705513786625218,0.018029877966320194,5.919319353605571,0.010771792774137697
39,5.695732625755104,0.019080201566622063,5.93178683833072,0.011437499993725828
40,5.681650960767591,0.019478137655234016,5.92819356918335,0.010145147968279688
41,5.6702048649659025,0.018959398104532343,5.922930717468262,0.009268914496428087
42,5.660057963551702,0.021028936689568532,5.933175463425486,0.009831825663384638
43,5.647238029016031,0.02196048920017642,5.933283981524016,0.009489309238760095
44,5.640393141153696,0.022019373429184023,5.927051594382839,0.01066406247647185
45,5.621446667490779,0.023403004063545046,5.936935173837762,0.010710526257753372
46,5.616217026839385,0.023625317155509383,5.944596441168534,0.009579769776839959
47,5.603617822801745,0.023674717047125905,5.939189810501902,0.010093749941963898
48,5.598841770275219,0.025008270365966333,5.957720154210141,0.010869654581735009
49,5.582635634654277,0.025260364284386504,5.943651274630898,0.01035320719605998
50,5.572408489278845,0.026794579232463967,5.954068736026161,0.01015254933583109
51,5.560507632590629,0.026723853136236604,5.956686873185007,0.010764391406586296
52,5.543171141598676,0.028799813945551176,6.014882112804212,0.009631167803155748
53,5.543897255046947,0.02861980107185003,5.970579097145482,0.010563733546357406
54,5.528026754791672,0.02940686631041604,5.960803985595703,0.010402138099858635
55,5.517915042670998,0.030068738209838804,5.998848362972862,0.010869654581735009
56,5.505165274078782,0.030267367542192742,6.001885639993768,0.010409539467410037
57,5.502014508118501,0.032191389114470094,6.003261666548879,0.0092738486434284
58,5.4913750403636215,0.03195926652768174,6.0056188733954174,0.009327713792261324
59,5.474073944865046,0.03279979640265574,6.015324517300255,0.00979029602910343
