epoch,train_loss,train_retrieval_accuracy,val_loss,val_retrieval_accuracy
1,6.107088301632856,0.003342175277302394,6.005030004601729,0.0035637335753754564
2,6.049776644320102,0.004016566493019865,5.988449774290386,0.0040727795934990835
3,6.028314828872681,0.004331934567842935,5.969028598383853,0.005154605268647796
4,6.011854468165217,0.004779947990853642,5.972206517269737,0.005154605268647796
5,6.005243391604037,0.005084151628653746,5.949285958942614,0.00540912827770961
6,5.990091852239661,0.004941696741593045,5.962294026425011,0.005203536172446452
7,5.987899245442571,0.00544046496695562,5.934866453471937,0.005617187505489902
8,5.984376913792378,0.005441142422323291,5.94278947930587,0.005671052654322825
9,5.980273659164841,0.005507803824100946,5.933642989710758,0.005303865151577874
10,5.971002739828986,0.006155801471322775,5.931923263951352,0.0055707236261744245
11,5.966992255803701,0.00586411717498826,5.923549501519454,0.005825246733270194
12,5.969589446042035,0.005797455766917886,5.922507486845317,0.00613363489116493
13,5.964901956352028,0.005968336594869962,5.922896887126722,0.006082236864849141
14,5.964672520353988,0.006472524444295748,5.92043389772114,0.006388157900226743
15,5.955859764202221,0.00628302720488628,5.924137767992522,0.005822779610753059
16,5.956289549131651,0.006011314237037221,5.917422922034013,0.00577138158443727
17,5.9552507400512695,0.006234304765491067,5.923493360218249,0.006192434186998166
18,5.950619491370949,0.006665734130561956,5.9195301658228825,0.006858141504620251
19,5.949484979784167,0.006217720704404889,5.915426329562538,0.006077302619814873
20,5.948086964117514,0.006657956960938267,5.917076612773695,0.006706414450156062
21,5.943160959192224,0.006972647574100946,5.9324460531535905,0.00649835522237577
22,5.9463560581207275,0.006165610997610398,5.909560630196019,0.0069634045817350085
23,5.940971322961755,0.006271185321934722,5.9086447264018815,0.006544819101691246
24,5.9417346168208764,0.00617948524351861,5.909210179981432,0.0066426809092885565
25,5.939859686671077,0.006804476567619556,5.913820065950093,0.006860608529103429
26,5.941307473827052,0.006812931189464556,5.913724020907753,0.00669654605812148
27,5.940199188283972,0.006480979062994388,5.905424243525455,0.006290296092629433
28,5.937836137977806,0.006259343435836805,5.902261131688168,0.0067553453539547165
29,5.938694535075007,0.006549672827728697,5.913607622447767,0.0059305098103849515
30,5.935519096013662,0.00680176674614887,5.899923098714728,0.006542351979174112
31,5.936534578735764,0.006813608638539507,5.905987839949758,0.00783717102910343
32,5.931961491301253,0.007288693097998967,5.911011997022126,0.006542351979174112
33,5.93258903477643,0.006902598906497194,5.905620223597476,0.006645148031805691
34,5.93270874667812,0.00743724506449055,5.922331860190944,0.006131167768647796
35,5.930276413221617,0.006733750446221313,5.901152284521806,0.006131167768647796
36,5.927770543742824,0.007368551296609882,5.901727977551912,0.006383223704209453
37,5.925550802333935,0.007419983554329421,5.897600048466733,0.0064909539528583225
38,5.9252183823972135,0.007342835170896472,5.9028446046929615,0.006956003312217562
39,5.924000218107894,0.007382425542518094,5.897239434091668,0.00742351969605998
40,5.924880356402011,0.007499841746647615,5.911415802805047,0.007413651304025399
41,5.924515556644749,0.006548317923286074,5.899102938802619,0.00571504936210419
