ari,cross_nmse_image_to_gene,epoch,nmi,section_id,self_nmse_gene,self_nmse_image,stage1_sum_ari,stage1_sum_nmi,stage1_support_ari,stage1_support_nmi,stage2_input
0.4086121503157948,0.9773963935234967,10,0.49454534268195055,151507,0.9501798784031588,0.43518927868674784,0.17729302114377815,0.3307614654169975,0.34795687410339327,0.4517668239592115,support
0.3872165920936871,0.9593559959355522,20,0.4937581398479301,151507,0.9306541505981895,0.31907685539301706,0.15292762763295437,0.33454094024423825,0.257321445311583,0.437863351549736,support
0.3915985229489379,0.930860393187579,50,0.5123065678334033,151507,0.8828496371998507,0.22265671631869147,0.1862830098009456,0.3570557101927231,0.26672291263387127,0.46898246536367433,support
0.391127609140649,0.9113929201574886,100,0.5138293247708775,151507,0.8428557374898125,0.17297736949780407,0.015864957079300936,0.1109689377298138,0.3137740933753007,0.44171763574718,support
0.37505257793492164,0.9012757715056924,200,0.49076869809390394,151507,0.8097856009707731,0.13792645010878057,0.002858432319268888,0.012471784232055161,0.34786458590633634,0.48945457313917207,support
0.4332658551283945,0.9811621407667795,10,0.5055159384375117,151508,0.9537548389699724,0.4335112902853224,0.2088239259909789,0.3736406121915368,0.27791930505258394,0.45953244138020244,support
0.494339817958299,0.964254273308648,20,0.538701000830272,151508,0.9368813832600912,0.30022883580790627,0.22993361957330824,0.3708167920831377,0.32560482981773214,0.4755583270042774,support
0.45413353393154754,0.9381394253836738,50,0.5543379340033162,151508,0.894955144988166,0.19873543663157356,0.2250080480496525,0.3449078437200433,0.38316784048065483,0.49231252409371795,support
0.29271047106758874,0.9191775487528907,100,0.4204858631895074,151508,0.8570322096347809,0.14976064239939055,0.20588104616059513,0.36864779486127097,0.42169559933060186,0.5167946231196662,support
0.36181788444908763,0.9091179205311669,200,0.49370471305650054,151508,0.8271606895658705,0.11648504270447625,0.24721685213583064,0.37626872255917804,0.3687996936170412,0.5109731769993141,support
0.4521533075776774,0.9764844085040846,10,0.5297092831351877,151509,0.9483153631812647,0.431666772616537,0.060523743629108166,0.14377932092670404,0.2641829336563689,0.46849847862620125,support
0.4357449970425573,0.9584636311782034,20,0.473104631223339,151509,0.9282635387621427,0.3184961692283028,0.04171875021381494,0.09838883516859613,0.2832986454897221,0.453764600281085,support
0.47074454099874397,0.9307529518478795,50,0.5576267028245715,151509,0.8841822994382758,0.22049862381659055,0.27616280088513,0.4381061374728704,0.28062485699355255,0.46648938132029344,support
0.5220796325705991,0.9128220802859256,100,0.5497894100307116,151509,0.8494557110886825,0.1677529325610713,0.28110196248837405,0.4536958551226591,0.30105894733019073,0.46622143703721286,support
0.5603407866674422,0.9042627278127169,200,0.5763971017415119,151509,0.8211258900792975,0.1314733322513731,0.2933778463907107,0.46608227959069204,0.3967742179733341,0.5220010667931773,support
0.4284089130809956,0.9756414426697625,10,0.49301101501333855,151510,0.9484600391652849,0.41940319206979537,0.2053385610554037,0.3407181610480785,0.25416821625006575,0.4276970333360164,support
0.4617413623799254,0.9578908979892731,20,0.5149444253827724,151510,0.9291544126139747,0.30500329037507373,0.20034690348780915,0.37289550773194907,0.24767911149662106,0.442338518049929,support
0.49355311989862194,0.9305285149150424,50,0.5474924289620016,151510,0.8843318290180631,0.21487554576661852,0.0300377370924592,0.14674526492056394,0.4113008194265977,0.4823227987921599,support
0.4665852857249706,0.9125671221150292,100,0.5032137899029641,151510,0.8477922909789615,0.1676314820845922,0.24290836742016442,0.4181944036240224,0.27247116196176996,0.4496806062663789,support
0.447786930204083,0.9038787417941623,200,0.5169976823079043,151510,0.8183694117599063,0.13574829035335118,0.24490109689532824,0.41400529546039516,0.40028289994114424,0.4937848135523238,support
0.3248454900514949,0.9804145773251851,10,0.4090236707456558,151669,0.9524974266688029,0.4624153196811676,-0.015702464442597083,0.04608825850132831,0.1134337365424206,0.31337393881016573,support
0.35648627951262063,0.9622940301895142,20,0.46176119383963876,151669,0.935093879699707,0.32734846472740176,0.02457085594659305,0.007214058184854168,0.187868522411047,0.34872854935780595,support
0.32914596782656813,0.9333635727564494,50,0.4505832195645998,151669,0.8883790095647176,0.21058602233727772,-0.021256527101997366,0.017560971272235035,0.2689574313161643,0.37904289370955235,support
0.35050117307691714,0.9115580081939697,100,0.5068411168783418,151669,0.8454378088315327,0.1525252158443133,0.026025960751986595,0.010037481643855877,0.30172256517838897,0.41864441731844365,support
0.36592467669186945,0.8983538190523783,200,0.49512076189431187,151669,0.8101747393608093,0.11286385754744212,-0.01411115202663661,0.062291204942997246,0.3327036400389967,0.47822704984225717,support
0.3542067333524598,0.9793352953025273,10,0.3930864622359957,151670,0.951103150844574,0.4641879307372229,0.01142546404918795,0.038809741568096384,0.2911065366538915,0.4078788237278153,support
0.3799055165753922,0.960276552609035,20,0.41775578199045726,151670,0.9323741580758776,0.33060347395283834,0.00624170964304091,0.038010160140856813,0.17050346797440488,0.36934584022426914,support
0.39223356737680914,0.9301078234400068,50,0.4151648702517486,151670,0.8822627706187112,0.21136308354990824,0.04078816525382393,0.06351826303369332,0.25021552003669356,0.38596562379844995,support
0.4247745879809524,0.9077358330999102,100,0.44358234303326405,151670,0.8361213292394366,0.15000167595488684,0.027541755698396408,0.06526670243376524,0.462480378995738,0.47197663701646403,support
0.39466701395692116,0.8945994334561485,200,0.4596459087553384,151670,0.797983855009079,0.11092244620834078,0.05009957376745391,0.055882319924048296,0.3237586170598126,0.4083995120224297,support
0.14331954435456912,0.9810022786259651,10,0.26107330882344354,151671,0.9522262513637543,0.4545796550810337,-0.02384917840521714,0.010689718872517691,0.1636556168348839,0.24952625582484286,support
0.1305100313229665,0.9627174995839596,20,0.24604445176006748,151671,0.933599840849638,0.31790585070848465,-0.02447328752962475,0.011030078570037955,0.15428776633205576,0.3129681320349365,support
0.3062664069190481,0.9344157576560974,50,0.4634892046474048,151671,0.8865608349442482,0.20413960423320532,-0.03710708551576346,0.02221904108129003,0.4243702637026857,0.5312327879810933,support
0.3529181132615402,0.914769995957613,100,0.46928077341046875,151671,0.8468664437532425,0.14847580529749393,0.04939788816778957,0.20336132458714018,0.15734067624290024,0.3649408163371513,support
0.3903195519171275,0.9038397297263145,200,0.5337404068271755,151671,0.8142908550798893,0.11117403069511056,0.06115459484092231,0.22161837242308896,0.4643331974197506,0.5751924559567949,support
0.3186479544986964,0.978266891092062,10,0.4431939138017514,151672,0.9513335078954697,0.4477006997913122,0.06053943243319953,0.1828805725167547,0.17974947030073837,0.3198312072913768,support
0.31286441700724926,0.9599531628191471,20,0.44513733764320595,151672,0.931026179343462,0.3441876210272312,0.07051557578717256,0.20540255335133045,0.1557583676612853,0.3218464841968642,support
0.3634263272965373,0.9295701943337917,50,0.48689614655842567,151672,0.8801650404930115,0.25304771680384874,0.08889131677367769,0.19951485232409127,0.19251254311980004,0.34823622587816433,support
0.34556429577237235,0.9071203358471394,100,0.5137536872177574,151672,0.8359815888106823,0.20130155142396688,0.07356658987559453,0.1448210387311875,0.4253568428213957,0.4453064460650574,support
0.3308385695289238,0.8941396623849869,200,0.4837298654244162,151672,0.8022290132939816,0.163747719489038,0.0647011114213214,0.13143122090012208,0.23250110057778234,0.38732363489972366,support
0.26799434891046864,0.971389373143514,10,0.43361750804673127,151673,0.9421729445457458,0.44652294715245566,0.18104620841664898,0.37064009647873714,0.23876270216852724,0.4577541222719022,support
0.286559054398704,0.9477736035982768,20,0.4418878507394879,151673,0.9157147208849589,0.32457131147384644,0.22142442688950872,0.3976492110655232,0.3337610855630018,0.5164405945808402,support
0.29200405721056766,0.9134516676266988,50,0.4410914588690372,151673,0.8675211270650228,0.2230236570040385,0.1805407759923443,0.39646483754919254,0.3451465080880022,0.5493690863499647,support
0.2996161559087081,0.8880628029505412,100,0.43951845083016267,151673,0.822482419013977,0.16913554867108663,0.19038197569068316,0.4060322641313853,0.3626212440240477,0.563812518389507,support
0.2924682400894848,0.8722908894220988,200,0.44179862636673106,151673,0.786626128355662,0.13110199371973674,0.17534901355187585,0.3816869673584164,0.4135472838084934,0.610474345538339,support
0.3393567050574606,0.9700696070988973,10,0.4490949265271704,151674,0.9416171749432881,0.4399595459302266,0.14747761076520804,0.43064051338199677,0.33659944336262493,0.42212641181356375,support
0.3374361642744237,0.9471757451693217,20,0.4270820610419833,151674,0.9163200577100118,0.31306174397468567,0.2240411315681225,0.3758562695599486,0.2723381278475602,0.4708666422832145,support
0.37275419313262426,0.9134820977846781,50,0.46475520804828696,151674,0.866904330253601,0.20621485710144044,0.11850955339209768,0.3226698299699963,0.3412942115257037,0.4486558808653744,support
0.3911976892868024,0.8896894653638204,100,0.510797411485941,151674,0.8225711305936177,0.1540240988135338,0.12415858438804914,0.32830517836018763,0.3568404941805574,0.5276155133447276,support
0.3408271468385981,0.8763638297716777,200,0.4358195560701469,151674,0.7875947475433349,0.1183244859178861,0.15201859348397617,0.3853362828612281,0.37364708797846535,0.46353616045955365,support
0.3870420054310712,0.9701905633722033,10,0.5316287814236625,151675,0.944271023784365,0.4450530580111912,0.2212109436828101,0.38408615980431027,0.2873575262676125,0.451381698051297,support
0.3539099858175599,0.947211674281529,20,0.47527317959596116,151675,0.9166939088276455,0.3440577132361276,0.1844779168008094,0.351990774754249,0.33625535829673553,0.47466234212669,support
0.3434094096526856,0.9104668157441276,50,0.46326343669042463,151675,0.8582456026758466,0.2569431960582733,0.1920530718728554,0.4174397985205627,0.31937106233377277,0.45616735879078313,support
0.37890504169376193,0.8847896371568952,100,0.5189945554952397,151675,0.8091575929096767,0.20674015688044683,0.17669050443552548,0.3708612138806148,0.34836538689196656,0.518573491446542,support
0.35292640713762286,0.8702239649636405,200,0.4838713634832333,151675,0.7722449345248086,0.1708332896232605,0.20599936658322038,0.39348587544653024,0.3122217353314292,0.507500709347619,support
0.27690180328893027,0.9716923918042865,10,0.4330952989035267,151676,0.9452846816607884,0.4388888478279114,0.1555534076180295,0.34525990567110376,0.2942938379648289,0.42094679144010305,support
0.2896063793795077,0.9494999263967786,20,0.4526851439765373,151676,0.9197226975645337,0.32131099913801464,0.15506392750172865,0.35118763813490145,0.2674990521448523,0.3865338047847901,support
0.27924108563057887,0.9150138454777854,50,0.43118255387485716,151676,0.8641383392470223,0.22790399832384928,0.1283176554826857,0.30432017123544963,0.24669645263755433,0.4481628352000992,support
0.2610228970481746,0.8902207102094378,100,0.40131729580482506,151676,0.8156267532280513,0.18029299804142543,0.14763385071088686,0.3254948868305678,0.25991745702107516,0.4302875409748153,support
0.2886707794618677,0.8755200845854623,200,0.4548241009175411,151676,0.7781635820865631,0.1449818057673318,0.1244948403832201,0.3080526283674825,0.27404895127147494,0.4501870499333914,support
