arm,attn_ari_mean,attn_ari_median,attn_nmi_mean,best_ari_mean,best_ari_median,best_input,best_nmi_mean,cross_nmse_image_to_gene_mean,n_sections,run,self_nmse_gene_mean,sum_ari_mean,sum_ari_median,sum_nmi_mean,support_ari_mean,support_ari_median,support_nmi_mean
a_paper_faithful,,,,0.2662020687081567,0.24171015498326331,support,0.3570147632317035,0.9172074821468574,12,ablation_all12_v1,0.8498983923425256,0.11782217330338401,0.13591072117710667,0.25746027393428117,0.2662020687081567,0.24171015498326331,0.3570147632317035
b_norm_logits,,,,0.19246540208996263,0.19682391256068288,support,0.31430113114329944,0.9209963350057392,12,ablation_all12_v1,0.85572302497211,0.10052736373894865,0.10952848952933865,0.21305576957034364,0.19246540208996263,0.19682391256068288,0.31430113114329944
c_mlp_encoder,,,,0.24400882933442716,0.2716962628713828,support,0.3500691268235139,0.918516784038773,12,ablation_all12_v1,0.8992175858365665,0.19480784453261837,0.1876693516989444,0.31590481768519807,0.24400882933442716,0.2716962628713828,0.3500691268235139
d_spatial_topk,,,,0.2945743833692873,0.3136591288092411,support,0.4497880056176647,0.9255408305842178,12,ablation_all12_v1,0.8780002219613908,0.14227437778709912,0.1765899642450534,0.27934063335696374,0.2945743833692873,0.3136591288092411,0.4497880056176647
e_spatial_plus_attention,0.362943265863545,0.3410731529096673,0.4779969400732489,0.362943265863545,0.3410731529096673,attn,0.4779969400732489,0.9255408305842178,12,ablation_all12_v1,0.8780002219613908,0.14227437778709912,0.1765899642450534,0.27934063335696374,0.2945743833692873,0.3136591288092411,0.4497880056176647
f_partitioned,,,,0.2898900639325215,0.28091900551107407,support,0.43482227557495584,0.9396563354500539,12,ablation_all12_v2_capacity,0.8806032937387881,0.14457033833487523,0.16272061325899595,0.2948426202379428,0.2898900639325215,0.28091900551107407,0.43482227557495584
g_mlp1024,,,,0.27305625089975766,0.2747483448889487,support,0.3882302390690844,0.9427959850108548,12,ablation_all12_v2_capacity,0.9238270091512663,0.22364250382215678,0.2281105293789904,0.33807764047738126,0.27305625089975766,0.2747483448889487,0.3882302390690844
h_mlp2048,,,,0.2678831550848367,0.2753350455986896,support,0.3895196931667341,0.947038119983481,12,ablation_all12_v2_capacity,0.9294280589073706,0.266881275025153,0.23988350322214275,0.36743224297059246,0.2678831550848367,0.2753350455986896,0.3895196931667341
i_partitioned_mlp1024,,,,0.3162581062834261,0.31413667141471446,support,0.43974669137213795,0.957363735920813,12,ablation_all12_v2_capacity,0.9203982067778287,0.18836838970687667,0.19765885403822503,0.31662006468631154,0.3162581062834261,0.31413667141471446,0.43974669137213795
j_best_plus_attention,0.29023285080427524,0.28986437937285864,0.4338156948223461,0.3162581062834261,0.31413667141471446,support,0.43974669137213795,0.957363735920813,12,ablation_all12_v2_capacity,0.9203982067778287,0.18836838970687667,0.19765885403822503,0.31662006468631154,0.3162581062834261,0.31413667141471446,0.43974669137213795
k_spatial_attention,,,,0.31086503519125436,0.29999795966366266,support,0.45474498851194395,0.9258460883461509,12,ablation_all12_v3_attention,0.8783746637922114,0.11735237683149262,0.12341360443739169,0.25254356010772594,0.31086503519125436,0.29999795966366266,0.45474498851194395
l_spatial_attention_mlp1024,,,,0.277454914427086,0.2948205275119423,support,0.3930632571359171,0.9425614461650377,12,ablation_all12_v3_attention,0.9236799291932328,0.20931096953117642,0.23346112543911124,0.31551536480739123,0.277454914427086,0.2948205275119423,0.3930632571359171
m_spatial_attention_partitioned,,,,0.28008119958723066,0.29221593085838654,support,0.43482499421282433,0.9398432391993702,12,ablation_all12_v3_attention,0.8810069447393171,0.13982691137685835,0.15893884608790873,0.297704647774281,0.28008119958723066,0.29221593085838654,0.43482499421282433
n_spatial_attention_plus_stage2,0.37404256106860584,0.3680902602145808,0.48234914434400644,0.37404256106860584,0.3680902602145808,attn,0.48234914434400644,0.9258460883461509,12,ablation_all12_v3_attention,0.8783746637922114,0.11735237683149262,0.12341360443739169,0.25254356010772594,0.31086503519125436,0.29999795966366266,0.45474498851194395
STAIG,,,,0.5092058911668258,0.5373999220673886,staig,0.6455014589225619,,12,staig_baseline_seed0_all12_regen_v1,,,,,,,
MP-MNCA_unsupervised,,,,0.4835557805679076,0.5131826041877732,mpmnca,0.6384052512022654,,12,leak_ab_all12_v1,,,,,,,
