ari_leak,elapsed_seconds,epochs,ground_truth_ari,ground_truth_ari_unrefined,ground_truth_nmi,image_kmeans_ari,image_kmeans_ari_unrefined,image_kmeans_nmi,nmi_leak,section_id,seed
0.40458449029170573,6280.0403386250255,20,0.9291169085038505,0.9536973060498808,0.9089200671863458,0.5245324182121448,0.527275777955551,0.6623388609204193,0.2465812062659265,151507,0
0.42832250861021665,8247.253918584029,20,0.9185019302433862,0.9326350135767261,0.8933677156031651,0.4901794216331696,0.4873294126132043,0.6277249489720376,0.2656427666311275,151508,0
0.0174271131634936,9423.391027875012,20,0.4496880270634746,0.4514201273790994,0.4703448164687512,0.432260913899981,0.4305399311891835,0.6286575535030879,-0.15831273703433674,151509,0
0.3815631654552199,7085.271919333958,20,0.8752509963832598,0.9291163200045606,0.8293851736294976,0.49368783092803986,0.48840857514878483,0.6433125516768984,0.18607262195259922,151510,0
0.3429848304781795,2322.540587583906,20,0.645329680372696,0.6199024779164443,0.6317988958847685,0.3023448498945165,0.3002074165825926,0.5149248423676203,0.11687405351714819,151669,0
0.40144536694216576,2045.8561133749317,20,0.6936210951909739,0.6525070772075803,0.6478716897288304,0.29217572824880816,0.2817160360667029,0.4777469123277512,0.17012477740107917,151670,0
0.1913350139046781,5667.823055459012,20,0.7974773336320593,0.8163556089921702,0.7641716392349261,0.6061423197273812,0.5951573265290743,0.7244049881233137,0.03976665111161248,151671,0
0.37730370702418226,6232.219205084024,20,0.9588430802998819,0.9708171362149319,0.9263701473045224,0.5815393732756996,0.5765192885032746,0.6967568785481743,0.22961326875634813,151672,0
0.32238646344310895,5251.608145499951,20,0.8321375239063106,0.8834341048568479,0.8426450959365106,0.5097510604632016,0.5101133796943079,0.6788158452214529,0.16382925071505772,151673,0
0.27711987670640303,5289.697951083013,20,0.8063505839062893,0.8567795858442072,0.8405370131532073,0.5292307071998863,0.5258024908756462,0.6680930533030761,0.17244395985013117,151674,0
-0.22941510925627323,4231.828187250008,20,0.29479548616344603,0.3022094461434262,0.46294017399142334,0.5242105954197193,0.5276377490336417,0.6629162866028151,-0.19997611261139175,151675,0
0.22308930411323424,3992.5548419159604,20,0.7397034520255789,0.759749838181031,0.805111857973447,0.5166141479123446,0.5156966090588836,0.6751702928605373,0.12994156511290966,151676,0
