all_alive_fraction,arm,attn_ari,attn_input,attn_nmi,cross_nmse_gene_to_image,cross_nmse_image_to_gene,elapsed_seconds,section_id,self_nmse_gene,self_nmse_image,sum_ari,sum_nmi,support_ari,support_nmi
1.0,k_spatial_attention,,,,0.1585414882968454,0.930860393187579,39.40276708290912,151507,0.8828496371998507,0.22265671631869147,0.1862830098009456,0.3570557101927231,0.26672291263387127,0.46898246536367433
1.0,k_spatial_attention,,,,0.14923839684989718,0.9381394253836738,39.8401366249891,151508,0.894955144988166,0.19873543663157356,0.2250080480496525,0.3449078437200433,0.38316784048065483,0.49231252409371795
1.0,k_spatial_attention,,,,0.1620277762413025,0.9307529518478795,43.164950000005774,151509,0.8841822994382758,0.22049862381659055,0.27616280088513,0.4381061374728704,0.28062485699355255,0.46648938132029344
1.0,k_spatial_attention,,,,0.15107746339506573,0.9305285149150424,41.64922525000293,151510,0.8843318290180631,0.21487554576661852,0.0300377370924592,0.14674526492056394,0.4113008194265977,0.4823227987921599
1.0,k_spatial_attention,,,,0.16201360722382863,0.9333635727564494,35.5366262079915,151669,0.8883790095647176,0.21058602233727772,-0.021256527101997366,0.017560971272235035,0.2689574313161643,0.37904289370955235
1.0,k_spatial_attention,,,,0.16173003826822555,0.9301078234400068,35.121576874982566,151670,0.8822627706187112,0.21136308354990824,0.04078816525382393,0.06351826303369332,0.25021552003669356,0.38596562379844995
1.0,k_spatial_attention,,,,0.15748535562306643,0.9344157576560974,41.38124187500216,151671,0.8865608349442482,0.20413960423320532,-0.03710708551576346,0.02221904108129003,0.4243702637026857,0.5312327879810933
1.0,k_spatial_attention,,,,0.18057831283658743,0.9295701943337917,39.81393691699486,151672,0.8801650404930115,0.25304771680384874,0.08889131677367769,0.19951485232409127,0.19251254311980004,0.34823622587816433
1.0,k_spatial_attention,,,,0.16003364324569702,0.9134516676266988,37.42532475001644,151673,0.8675211270650228,0.2230236570040385,0.1805407759923443,0.39646483754919254,0.3451465080880022,0.5493690863499647
1.0,k_spatial_attention,,,,0.14580254157384237,0.9134820977846781,37.24135849997401,151674,0.866904330253601,0.20621485710144044,0.11850955339209768,0.3226698299699963,0.3412942115257037,0.4486558808653744
1.0,k_spatial_attention,,,,0.17297753585236414,0.9104668157441276,36.47706516692415,151675,0.8582456026758466,0.2569431960582733,0.1920530718728554,0.4174397985205627,0.31937106233377277,0.45616735879078313
1.0,k_spatial_attention,,,,0.15631950008017675,0.9150138454777854,35.234735791920684,151676,0.8641383392470223,0.22790399832384928,0.1283176554826857,0.30432017123544963,0.24669645263755433,0.4481628352000992
0.7822265625,l_spatial_attention_mlp1024,,,,0.12391630866948296,0.9490350975709803,51.910368375014514,151507,0.9302018284797668,0.19214086935800664,0.20356852938701772,0.3354375117801428,0.3481762521991378,0.4341839633757046
0.81640625,l_spatial_attention_mlp1024,,,,0.12023378991418415,0.955734564198388,54.63927095802501,151508,0.9403528471787771,0.18098324454492992,0.41112044330045416,0.47323813224281075,0.32779410499382766,0.46591735039383475
0.8154296875,l_spatial_attention_mlp1024,,,,0.13766980210417196,0.949595078041679,59.26762279099785,151509,0.9300831211240668,0.20597075788598312,0.3692233027706195,0.4359472479352814,0.24228227242458514,0.4384335041947189
0.775390625,l_spatial_attention_mlp1024,,,,0.11323610569039981,0.9492686688899994,57.023271000012755,151510,0.9314941896332635,0.17840136339267096,0.2567850857804665,0.3916767516765623,0.28897355427211924,0.4512836029566535
0.8427734375,l_spatial_attention_mlp1024,,,,0.13330499132474263,0.9473891536394755,44.85972175002098,151669,0.9295899073282877,0.2060161938269933,-0.03290807238336138,0.048274291454073165,0.24136447967838146,0.3646952506212031
