epoch,train_loss,val_loss,same_layer_similarity,diff_layer_similarity,margin_violation_rate,knn_accuracy
1,0.25075724832713603,0.24341364204883575,0.7374665141105652,0.7227513194084167,0.97171875,0.606056338028169
2,0.23982307329773903,0.23627696931362152,0.7580110430717468,0.7245581150054932,0.93171875,0.5805633802816902
3,0.2331894591450691,0.2330162078142166,0.7357894778251648,0.6857065558433533,0.85109375,0.5597183098591549
4,0.23028901271522045,0.2333824187517166,0.7088266015052795,0.6461320519447327,0.775625,0.5495774647887324
5,0.22787258580327033,0.23176880180835724,0.6876155734062195,0.5952722430229187,0.7003125,0.5504225352112676
6,0.2292999067902565,0.23663383722305298,0.6470370292663574,0.5307429432868958,0.60609375,0.5388732394366197
7,0.2298428724706173,0.23677456378936768,0.6416729092597961,0.5070176720619202,0.591875,0.5585915492957747
8,0.23196534343063832,0.24008308351039886,0.6198221445083618,0.4584577977657318,0.52328125,0.5680281690140845
9,0.23242036662995816,0.2446780800819397,0.6048845052719116,0.4436984360218048,0.51484375,0.57
10,0.23537863478064536,0.24336834251880646,0.5960881114006042,0.40385210514068604,0.47015625,0.5763380281690141
11,0.2325738864392042,0.25064125657081604,0.583364725112915,0.40533438324928284,0.46390625,0.5764788732394366
12,0.23437832653522492,0.25169432163238525,0.5618301630020142,0.3488044738769531,0.3878125,0.5770422535211268
13,0.23619078569114207,0.252725213766098,0.5595864653587341,0.3190338611602783,0.3696875,0.5783098591549296
14,0.23753841534256936,0.2603418827056885,0.5448312163352966,0.3096887469291687,0.36484375,0.5798591549295775
15,0.24010659426450728,0.2645391821861267,0.5264728665351868,0.263911634683609,0.30859375,0.5784507042253522
16,0.2422613176703453,0.26664313673973083,0.5281299352645874,0.2700691521167755,0.3340625,0.5801408450704225
17,0.24084271050989628,0.2675829529762268,0.5211769342422485,0.2662814259529114,0.31859375,0.584225352112676
18,0.24021155275404454,0.26422959566116333,0.5244419574737549,0.2589114308357239,0.3025,0.5757746478873239
19,0.23821640655398368,0.26411643624305725,0.5253536701202393,0.2500259280204773,0.30109375,0.5859154929577465
20,0.23697863332927227,0.2648925483226776,0.5203558206558228,0.23828637599945068,0.2828125,0.5828169014084507
21,0.23902044512331486,0.27039599418640137,0.5112451314926147,0.22725173830986023,0.29078125,0.5830985915492958
22,0.240821236371994,0.27252471446990967,0.5010848045349121,0.21420471370220184,0.26859375,0.5912676056338028
23,0.24120534531772136,0.2739478051662445,0.5007433891296387,0.2065132111310959,0.26765625,0.5835211267605633
24,0.24164795972406863,0.2750425338745117,0.49833810329437256,0.2112560272216797,0.2709375,0.5857746478873239
25,0.2416645035892725,0.27643778920173645,0.4953504800796509,0.19899329543113708,0.26484375,0.5894366197183099
26,0.23894995227456092,0.2765936255455017,0.4933490455150604,0.19093520939350128,0.2634375,0.5885915492957746
27,0.23651568576693535,0.2723681926727295,0.507326066493988,0.21448537707328796,0.285,0.586338028169014
28,0.23933902062475682,0.27415916323661804,0.502480685710907,0.22018615901470184,0.28578125,0.5866197183098592
29,0.23843772165477276,0.2769084870815277,0.49415236711502075,0.20695510506629944,0.2778125,0.5845070422535211
30,0.23760953210294247,0.27435120940208435,0.4957742989063263,0.19156460464000702,0.25578125,0.5828169014084507
