epoch,train_loss,val_loss,same_layer_similarity,diff_layer_similarity,margin_violation_rate,knn_accuracy
1,0.4643469099700451,0.4581398367881775,0.4821334183216095,0.44539451599121094,0.96453125,0.6022535211267606
2,0.4517995972931385,0.4462912678718567,0.44941914081573486,0.383342981338501,0.92125,0.5815492957746479
3,0.4420600186288357,0.4403246343135834,0.4345254600048065,0.33819130063056946,0.81625,0.5591549295774648
4,0.43768864721059797,0.44231274724006653,0.399636447429657,0.29103928804397583,0.74625,0.5491549295774648
5,0.4291104012727737,0.43106377124786377,0.4108451008796692,0.26624420285224915,0.72375,0.5515492957746478
6,0.4179267011582851,0.4250994026660919,0.41457098722457886,0.2465660274028778,0.69328125,0.5574647887323944
7,0.40582735031843187,0.40942174196243286,0.4495801031589508,0.25486862659454346,0.71703125,0.5677464788732395
8,0.3959044118225574,0.4017290771007538,0.4753434658050537,0.2737663984298706,0.7334375,0.5638028169014084
9,0.38669857397675517,0.40180066227912903,0.48813897371292114,0.2873786985874176,0.7334375,0.5632394366197183
10,0.3833063580095768,0.392922580242157,0.48873627185821533,0.2672986090183258,0.7278125,0.5598591549295775
11,0.3752938498556614,0.3952791094779968,0.49411246180534363,0.28375884890556335,0.73828125,0.5680281690140845
12,0.3711195470392704,0.3898831307888031,0.49273881316185,0.27588894963264465,0.7484375,0.5671830985915493
13,0.36923678547143934,0.3880424499511719,0.4857906401157379,0.2487584501504898,0.6909375,0.569718309859155
14,0.366303006708622,0.38707005977630615,0.4940483868122101,0.2611466944217682,0.7096875,0.5791549295774648
15,0.36234320148825644,0.38478347659111023,0.49451231956481934,0.25638145208358765,0.70828125,0.58
16,0.3620681591331959,0.38479670882225037,0.4995558559894562,0.262183278799057,0.70984375,0.58
17,0.35889199897646906,0.3828185200691223,0.5003473162651062,0.25962579250335693,0.71328125,0.5702816901408451
18,0.3579897527396679,0.38355377316474915,0.49899986386299133,0.266845703125,0.7384375,0.5759154929577465
19,0.3543563835322857,0.3808152675628662,0.5074663162231445,0.2632524073123932,0.71015625,0.5814084507042253
20,0.35286302790045737,0.3787130117416382,0.5005864500999451,0.25000858306884766,0.7,0.5773239436619718
21,0.35532763332128525,0.3797539472579956,0.4936985373497009,0.24041002988815308,0.68546875,0.5809859154929577
22,0.35283047989010813,0.3811682164669037,0.490458607673645,0.24849025905132294,0.71640625,0.5750704225352112
23,0.3519969190657139,0.37902235984802246,0.48578986525535583,0.23119713366031647,0.68265625,0.5757746478873239
24,0.35177764639258385,0.38185104727745056,0.49027854204177856,0.24535003304481506,0.70625,0.5790140845070423
25,0.35102340310811997,0.37743258476257324,0.48225533962249756,0.21585418283939362,0.65515625,0.5814084507042253
26,0.3482278572022915,0.3803395926952362,0.47373005747795105,0.21505451202392578,0.66703125,0.5795774647887324
27,0.34745941013097764,0.3811456263065338,0.4690207242965698,0.20756596326828003,0.6453125,0.5809859154929577
28,0.347493544369936,0.37948310375213623,0.47773826122283936,0.2101951241493225,0.6509375,0.5861971830985916
29,0.34473367527127263,0.3831433951854706,0.46972861886024475,0.208708718419075,0.64484375,0.5850704225352112
30,0.3447473151981831,0.37959355115890503,0.4730013310909271,0.20422840118408203,0.644375,0.582112676056338
