ari,nmi,pooled_self_nmse_gene,section_id,stage1_sum_ari,stage1_support_ari,stage2_input
0.3786386418332361,0.5022635588231411,0.8721651186814179,151507,0.2954285606666604,0.3033159606350407,support
0.3562448407843493,0.47426786062474,0.8721651186814179,151508,0.2889616564520411,0.3721438595602805,support
0.4405681209969892,0.4804656812907649,0.8721651186814179,151509,0.34713430202183887,0.4188005377972283,support
0.4625456095424238,0.4911563723028516,0.8721651186814179,151510,0.2908135156627497,0.3089828180420955,support
0.39636046953459486,0.5051959125121873,0.8721651186814179,151669,0.5664758528271153,0.27107433753910626,sum
0.3055259950137942,0.37419778580148183,0.8721651186814179,151670,0.444479761998263,0.3285807933456289,sum
0.3247034249354412,0.4995040724748334,0.8721651186814179,151671,0.09504256398830205,0.4955414434403311,support
0.4667189489665063,0.5995056610349105,0.8721651186814179,151672,0.08343094397796859,0.5462132453844709,support
0.38240414274787293,0.5522680853604784,0.8721651186814179,151673,0.1887764092433761,0.4180066485794822,support
0.5717922296712745,0.626300493504696,0.8721651186814179,151674,0.24793703920990456,0.3645736415871798,support
0.37183075042241676,0.4987659979057318,0.8721651186814179,151675,0.20620955130064697,0.4210830242891572,support
0.27856345268013494,0.4413187386433608,0.8721651186814179,151676,0.2577943871065675,0.3843369059232272,support
