all_alive_fraction,arm,attn_ari,attn_input,attn_nmi,cross_nmse_gene_to_image,cross_nmse_image_to_gene,elapsed_seconds,section_id,self_nmse_gene,self_nmse_image,sum_ari,sum_nmi,support_ari,support_nmi
1.0,a_paper_faithful,,,,0.0709631184444708,0.9222312779987559,31.77165004098788,151507,0.855000425787533,0.15930049033725963,0.1481302786910408,0.35116658617874397,0.2595691720331453,0.39975113882816404
1.0,a_paper_faithful,,,,0.07871310081746843,0.927963462140825,31.88879850000376,151508,0.8639177216423882,0.1587670776579115,0.21046529568166594,0.34196111622503184,0.3177572060982505,0.4556447054204107
1.0,a_paper_faithful,,,,0.07419866029369204,0.9241267599557575,34.271721875004005,151509,0.8569431242189909,0.15372173292072197,0.26682199152227076,0.4093805912455413,0.2755969502024367,0.3962664824632853
1.0,a_paper_faithful,,,,0.07062553572985861,0.9213970833354526,33.877246500051115,151510,0.8561272588041093,0.1567621421482828,0.18614995507851856,0.36413491315295404,0.25675859018262626,0.4115352230003924
1.0,a_paper_faithful,,,,0.08196315119663874,0.9241595268249512,25.442257416958455,151669,0.8573815902074178,0.16059860785802205,-0.0030869540029029286,0.021592475603153537,0.42532461893622425,0.3012084863198465
1.0,a_paper_faithful,,,,0.07676501039947782,0.9209569948060172,24.09676441695774,151670,0.8508324878556388,0.1596867793372699,-0.04019040489118144,0.01662681823699214,0.5255943314948509,0.4290440151750227
1.0,a_paper_faithful,,,,0.07829374726861715,0.9260130003094673,27.89584808400832,151671,0.8559246733784676,0.15480752382427454,-0.035195768956631616,0.017607999346710382,0.1634888923625047,0.25591292201028193
1.0,a_paper_faithful,,,,0.07311920961365104,0.9204094484448433,27.24172858404927,151672,0.8536687791347504,0.1695250514894724,0.0922146209818533,0.211170127110005,0.10607555940126005,0.20870625250099295
1.0,a_paper_faithful,,,,0.07601271520058314,0.9060596783955892,25.475745792035013,151673,0.8400521238644918,0.16672258973121643,0.18640969692931514,0.4114879256134935,0.2266617197839004,0.36098025427098285
1.0,a_paper_faithful,,,,0.07155821869770686,0.9055410226186117,25.42285862501012,151674,0.8388553142547608,0.15986788173516592,0.09089540022902304,0.2775083521701043,0.2156733230069042,0.3602749983049724
1.0,a_paper_faithful,,,,0.06320055041994367,0.9024738030774253,24.449817417014856,151675,0.8337387655462537,0.1674384049006871,0.18756080471446424,0.366375766475026,0.20075066142057676,0.37907498646211135
1.0,a_paper_faithful,,,,0.0654771990541901,0.9051577278545925,23.881501749972813,151676,0.8363384434155056,0.1657551931483405,0.12369116366317252,0.30051061585361827,0.22117379957520059,0.3257776940239783
1.0,b_norm_logits,,,,0.06957359480507233,0.9261728104423074,30.908401374996174,151507,0.8612533176646513,0.1532420393298654,0.1743219599600438,0.3294257763897968,0.18475756044368596,0.3425665334031225
1.0,b_norm_logits,,,,0.07994849979877472,0.9317132731278738,33.337572791962884,151508,0.8700999882486131,0.15186059888866213,0.21399604034754588,0.3397719162769401,0.24937096113041185,0.42900276110080854
1.0,b_norm_logits,,,,0.0742181645412194,0.9278626379213835,34.78831883397652,151509,0.8625651221526297,0.1489637564671667,0.03881188429853148,0.11326597730904157,0.22868281893014566,0.36973699734037413
1.0,b_norm_logits,,,,0.07049677396814029,0.9258158736758761,33.7155922499951,151510,0.8626701633135477,0.14985269556442896,0.2459230103527425,0.37619404530988865,0.1966146219611315,0.33228547793758273
1.0,b_norm_logits,,,,0.08094885895649592,0.9268802483876546,27.432442207995337,151669,0.862315571308136,0.15889677306016287,-0.005157619352748305,0.02676461459836602,0.06077032696580561,0.08251211422914784
1.0,b_norm_logits,,,,0.0765606936599527,0.9236982422215598,25.976716083998326,151670,0.8559560605457851,0.15803200964416778,0.034959433236982466,0.02030827003921763,0.3266659842580662,0.3831533523283409
1.0,b_norm_logits,,,,0.07847711583599448,0.9290089197456837,29.450920707953628,151671,0.8616309277713299,0.15216089691966772,-0.03725944554813424,0.022592455397195867,0.21490156915047173,0.27275911277272413
1.0,b_norm_logits,,,,0.07299353973940015,0.925014853477478,31.275422000035178,151672,0.8598398603498936,0.16308224759995937,0.00894021255842201,0.0177142984455192,0.07625247658677056,0.18619040786645685
1.0,b_norm_logits,,,,0.07472187727689743,0.9096037944157919,29.602952583984006,151673,0.8456141273180644,0.16182103157043456,0.16270179575258117,0.35972469694626324,0.1970332031602343,0.3482556314856778
