ari,batch_size,elapsed_seconds,epochs,nmi,section_id,self_nmse_gene,stage1_sum_ari,stage1_sum_nmi,stage1_support_ari,stage1_support_nmi,stage2_input
0.4039102508289365,32,153.1334367080126,50,0.503751046436058,151507,0.8615073931939674,0.014650168249736698,0.06360273954739039,0.3347756487018394,0.43495552106363183,support
0.4583670299459317,32,144.69411595794372,50,0.5681152006863299,151508,0.8711075617449127,0.2401847139934833,0.43278529122594095,0.4407408643720856,0.5338395593569444,support
0.5519151533125097,32,169.1953714590054,50,0.5804846963892556,151509,0.8721095796426137,0.28900750102103995,0.44443543081387665,0.40569734522679646,0.5012791570582664,support
0.4586407896929627,32,163.22217987501062,50,0.4948867261243401,151510,0.8673106986615393,0.21480244619538377,0.3892002392273143,0.2797213183440205,0.44840202613882113,support
0.35366525053108744,32,127.5524840829894,50,0.4926262170958373,151669,0.858124315738678,0.002399103485090278,0.07188901993300621,0.20914082479109433,0.35513003873719745,support
0.3542288884877785,32,120.89554954192135,50,0.41516108764171933,151670,0.8532139347233904,0.01766393366898899,0.035345377842061806,0.27486431253037025,0.3706901277189394,support
0.36372203533450365,32,146.41888266603928,50,0.49912027406328335,151671,0.8676221738569438,-0.027290848704747413,0.016186801867515782,0.42564607855460035,0.5408952148957153,support
0.3399654626107539,32,134.4565407090122,50,0.48673153676731223,151672,0.8460764152104737,0.08770817092689585,0.20676276678325436,0.2507127475316041,0.410189924813532,support
0.4373614125828546,32,122.17684295901563,50,0.5591095249516559,151673,0.8261419239297377,0.1717799382614081,0.3369404332856809,0.47086269680451914,0.6341388784233609,support
0.33260845801426775,32,125.41027054202277,50,0.4533305822827472,151674,0.833718747946254,0.1603318791717233,0.3915316097781164,0.3559582427199944,0.4913704677651789,support
0.3885120301162747,32,122.44919012498576,50,0.527942167808533,151675,0.8206095764679568,0.20050988511799708,0.39163118468618724,0.4123926909803396,0.5513334176487251,support
