section_id,ari,nmi,refined_ari,refined_nmi,n_spots,n_clusters,final_loss,elapsed_seconds
151507,0.5443161362055863,0.6720409338393252,0.5523883368395042,0.6798698341378712,4221,7,8.898088455200195,64.36423508299049
151508,0.47732272231888795,0.6182393824181526,0.48153641610276887,0.624877466027164,4381,7,8.93468952178955,69.59423179196892
151509,0.5676502637051727,0.6879183845532345,0.5697826064211902,0.68871176136096,4788,7,9.011346817016602,91.6039482090273
151510,0.4902040092370155,0.6595026304707083,0.4929797104086136,0.6642786327631754,4595,7,8.981147766113281,96.8956623749691
151669,0.2756366926628376,0.476604833015196,0.2797209621960517,0.47588855627488613,3636,5,8.726685523986816,88.3750326250447
151670,0.5203950051726832,0.5597910377579274,0.5213373260858453,0.5616747594825995,3484,5,8.688590049743652,89.40370679198531
151671,0.46017122285364426,0.6083382422815944,0.46927607788543685,0.617806969410414,4093,5,8.842965126037598,99.55965870799264
151672,0.5321185558224617,0.6721330242275501,0.5308971465313074,0.6727519591858654,3888,5,8.814826965332031,85.54989466594998
151673,0.5520890849008958,0.6958121706889947,0.55713123867824,0.7018383195892303,3611,7,8.743951797485352,88.31916554202326
151674,0.5523475528068723,0.6878927074673507,0.5556671780028728,0.6900510342917918,3635,7,8.740175247192383,89.8085787500022
151675,0.5581615043865776,0.6795452176540736,0.5558509972466084,0.6773792157561979,3566,7,8.744593620300293,89.79879383300431
151676,0.5394381654855732,0.6852616836609801,0.5439026976034699,0.6908889987905883,3431,7,8.702079772949219,82.90926837496227
