epoch,train_total_loss,train_byol_loss,train_variance_loss,train_embed_std,val_total_loss,val_byol_loss,val_variance_loss,val_embed_std
1,6.759415942269403,3.407326788515658,0.6704178307507489,0.3717725699817812,6.169011953714731,2.8225856536143534,0.6692852635641355,0.40680888295173645
2,5.619058609008789,2.5353204253557564,0.6167476418856028,0.46083907843441574,4.9825031564042375,1.9073590942331262,0.6150288098567241,0.5036272519343609
3,4.341080604372798,1.72513994494,0.5231881359139005,0.5831432278091843,3.405225927765305,1.1950593091346122,0.44203332791457306,0.7173065607612198
4,2.8163062205185763,1.1356600382038065,0.33612923565748576,0.8054895541957907,2.0975708768174455,0.7947139208381241,0.2605713895849279,0.9366631024592632
5,1.7973325888852816,0.790133097284549,0.2014398973535847,0.9858637540727049,1.2723667170550372,0.5980755477338224,0.13485823350178228,1.0964021167239628
6,1.0108019310880352,0.6022852353147559,0.08170333931323241,1.1706978348461357,0.5707538562851984,0.4947823213564383,0.015194307005888707,1.2953406507904466
7,0.5462594328297151,0.502662550557304,0.0087193765007337,1.3082764003727887,0.4333000239488241,0.43304857370015737,5.02901038507352e-05,1.3879928943273183
8,0.43286802176688166,0.4301943523255554,0.0005347339760486943,1.3500729912036173,0.3764758464452383,0.37637303326580973,2.0562564148693473e-05,1.400533312075847
9,0.37983810619727987,0.37793350783554286,0.00038091965944732765,1.3604152581176243,0.3401645703895672,0.3400461271002486,2.3688900762715855e-05,1.4078068990965147
10,0.3446261333049955,0.3439888787027952,0.00012745105541890134,1.3812196738011129,0.3123153931385762,0.3122613196437423,1.0814838665159973e-05,1.4255742640108675
11,0.3210121165658977,0.3203212624868831,0.00013817077961976866,1.3805821715174496,0.2946034299360739,0.2945562061425802,9.444743596218728e-06,1.425105958371549
12,0.3073426390419135,0.3071187041901253,4.478701000177377e-05,1.3949514595237937,0.2850477196074821,0.28502080891583415,5.382081695102356e-06,1.4434767800408441
13,0.29642207759457667,0.2958187879742803,0.00012065797125467577,1.392978054446143,0.27619529495368134,0.27619025795846375,1.007401560609405e-06,1.4465654766237415
14,0.2869515368664587,0.28669075990045395,5.215546745504882e-05,1.4010851085186005,0.26845849124160975,0.2684583845170769,2.1319735694575954e-08,1.4405765050166361
15,0.28125625868906845,0.2809965584326435,5.193998426752719e-05,1.40147641784436,0.2639700556929047,0.2639242229429451,9.166567611533242e-06,1.4399360676069517
16,0.2755575762004466,0.2753802500665188,3.5465271778505395e-05,1.4036663384050936,0.261594659573323,0.26156806824980555,5.318273513300999e-06,1.4578982591629028
17,0.2701817848593802,0.27007493165296476,2.1370668971055262e-05,1.4082904071421236,0.2565539841716354,0.25650968221393794,8.860401607848502e-06,1.4486493226644155
18,0.2638700545035504,0.26374338748487264,2.533341820880368e-05,1.4147540153683842,0.2509748758496465,0.2509199630569767,1.0982558533952042e-05,1.4683815853015796
19,0.2593574545069321,0.2592485017470411,2.1790599488225337e-05,1.4206894958341443,0.2487094269410984,0.2486662026998159,8.644838188145612e-06,1.4600578578742776
20,0.2546939246759221,0.2546058720028078,1.761051071052616e-05,1.420597867385761,0.24223101662622915,0.2421347527085124,1.9252747045578184e-05,1.4575632230655566
21,0.25339132064097636,0.2526934255619307,0.00013957900227978826,1.4066471368879885,0.24510846750156298,0.24510846750156298,0.0,1.4357560454188167
22,0.25581403600203023,0.25578318083205737,6.171025184763444e-06,1.417412608056455,0.24817529038802996,0.24817529038802996,0.0,1.4541835623818475
23,0.25615915958140345,0.2561415028129075,3.5313643968185864e-06,1.4288790443459072,0.24690182829225385,0.24690182829225385,0.0,1.4659387034338873
24,0.25060474278556333,0.25053356688570333,1.4235199479436551e-05,1.4258312736008618,0.24158162563233762,0.24158077626614957,1.6986568634574479e-07,1.452315726795712
25,0.24800395935371117,0.2477878091504445,4.3230049463139996e-05,1.425869798338091,0.23801338149083628,0.23801338149083628,0.0,1.4848226663228627
26,0.24525769830152794,0.2452255377696978,6.432081824420271e-06,1.4386887961142771,0.2406031533673003,0.2406031533673003,0.0,1.4822855479008443
27,0.2470843647984234,0.24703888011139793,9.096930797740415e-06,1.4479233348691785,0.2381090223789215,0.23810801393276937,2.0166280100474486e-07,1.4783567512357556
28,0.2435426437170119,0.24349977740564863,8.573296253342886e-06,1.4289624151345846,0.23551657956999703,0.2354771772751937,7.88044259958976e-06,1.4506666370340295
29,0.24141655701237755,0.24137338804634842,8.633774013031979e-06,1.4323915492843937,0.23394788761396665,0.23393581646519737,2.4142461149273693e-06,1.4745636179640487
30,0.23817006015294306,0.238139106111752,6.190779606333456e-06,1.4332760266355566,0.230764519926664,0.2307205067293064,8.802609266461553e-06,1.4676312014863298
31,0.23506227920989733,0.23502180997181582,8.093846043118754e-06,1.4211095297658765,0.22572234232683439,0.22562769659467646,1.8929143914499798e-05,1.4415807272936847
32,0.23147204427703008,0.23135291271515795,2.3826283427911835e-05,1.4229535033573975,0.22396668791770935,0.22396668791770935,0.0,1.4580183963517885
33,0.2324061645446597,0.23237789371931875,5.654171046272323e-06,1.4469674390715521,0.2264460385651202,0.2264460385651202,0.0,1.4918932270359349
34,0.23224767116275993,0.23204728004497452,4.007823991815786e-05,1.454427872960632,0.22918876482022776,0.22918876482022776,0.0,1.4922004648157068
35,0.23509585444588918,0.23504999934418783,9.171033869623332e-06,1.4578287110135362,0.23032459697207888,0.23032459697207888,0.0,1.4809241004892297
36,0.23550004572481723,0.2352025410210764,5.9500931309083023e-05,1.4651459858224198,0.2309395972941373,0.2309395972941373,0.0,1.4160339477899913
37,0.23966619412641268,0.23944186016514496,4.486678438764569e-05,1.4811166154371727,0.23485953743393356,0.23485953743393356,0.0,1.5273497974550403
38,0.24101835549683184,0.24101395129754738,8.808643985036257e-07,1.462757026021545,0.23780779298898336,0.23780779298898336,0.0,1.4822333503413845
39,0.24065923126968178,0.2406500844737968,1.829378684428898e-06,1.4529061752396661,0.2313526969503712,0.2313526969503712,0.0,1.4941618635847762
40,0.23597815511999903,0.23595880737175812,3.869561918986005e-06,1.4500622934586294,0.22853000099594528,0.22853000099594528,0.0,1.4766363195470862
41,0.23239346482866519,0.2323606503573624,6.562869718952759e-06,1.441810690873378,0.22318241362636154,0.22318241362636154,0.0,1.477472050769909
42,0.22737058846128955,0.22735617340013786,2.8830002741636456e-06,1.4312379770987742,0.2178119276020978,0.21780175615001368,2.034266504484254e-06,1.461278950845873
43,0.2243828992988612,0.22430080527792107,1.6418814256384565e-05,1.4412936221908879,0.22170783700169744,0.22170783700169744,0.0,1.5151293535490293
44,0.22368457732168404,0.22366446347252741,4.022773921590399e-06,1.4525404789963283,0.22058866394532695,0.22058866394532695,0.0,1.4574404858254097
45,0.2234467785503413,0.2233990687574889,9.541970841284539e-06,1.4247998852987547,0.21808696598620028,0.21808696598620028,0.0,1.4880845127878963
