raw_knn_label,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,WM
Layer_1,4210,167,589,11,105,138,266
Layer_2,73,513,149,0,7,14,13
Layer_3,572,1746,17004,198,1884,2046,862
Layer_4,24,15,417,243,268,118,28
Layer_5,196,113,2186,260,3498,877,210
Layer_6,104,67,1093,76,473,2379,520
WM,143,21,241,1,70,418,2703
