raw_knn_label,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,WM
Layer_1,4127,232,533,34,157,154,249
Layer_2,89,497,135,0,13,23,12
Layer_3,603,1696,15767,290,3029,2094,833
Layer_4,28,17,401,120,428,90,29
Layer_5,191,185,1891,320,3554,978,221
Layer_6,109,92,749,51,905,2321,485
WM,141,24,288,3,157,463,2521
