raw_knn_label,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,WM
Layer_1,4134,211,512,44,173,159,253
Layer_2,90,506,120,3,15,21,14
Layer_3,600,1814,15448,661,2852,2105,832
Layer_4,31,18,297,292,371,74,30
Layer_5,200,179,1402,592,3766,976,225
Layer_6,111,92,707,53,764,2484,501
WM,140,23,264,12,124,477,2557
