raw_knn_label,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,WM
Layer_1,4207,184,544,10,132,148,261
Layer_2,78,523,127,0,10,19,12
Layer_3,580,1865,16275,318,2379,2155,740
Layer_4,29,17,371,256,329,89,22
Layer_5,198,150,1866,321,3643,956,206
Layer_6,116,85,888,50,554,2527,492
WM,147,24,227,3,80,464,2652
