ari,arm,cross_nmse_image_to_gene,elapsed_seconds,nmi,section_id,self_nmse_gene,self_nmse_image,stage1_sum_ari,stage1_support_ari,stage2_input
0.3915985229489379,arm_n_base,0.930860393187579,60.62473116698675,0.5123065678334033,151507,0.8828496371998507,0.22265671631869147,0.1862830098009456,0.26672291263387127,support
0.45413353393154754,arm_n_base,0.9381394253836738,62.658492999966256,0.5543379340033162,151508,0.894955144988166,0.19873543663157356,0.2250080480496525,0.38316784048065483,support
0.47074454099874397,arm_n_base,0.9307529518478795,68.7324250000529,0.5576267028245715,151509,0.8841822994382758,0.22049862381659055,0.27616280088513,0.28062485699355255,support
0.49355311989862194,arm_n_base,0.9305285149150424,69.29642233392224,0.5474924289620016,151510,0.8843318290180631,0.21487554576661852,0.0300377370924592,0.4113008194265977,support
0.32914596782656813,arm_n_base,0.9333635727564494,55.695334832998924,0.4505832195645998,151669,0.8883790095647176,0.21058602233727772,-0.021256527101997366,0.2689574313161643,support
0.39223356737680914,arm_n_base,0.9301078234400068,53.2856866249349,0.4151648702517486,151670,0.8822627706187112,0.21136308354990824,0.04078816525382393,0.25021552003669356,support
0.3062664069190481,arm_n_base,0.9344157576560974,64.59053666691761,0.4634892046474048,151671,0.8865608349442482,0.20413960423320532,-0.03710708551576346,0.4243702637026857,support
0.3634263272965373,arm_n_base,0.9295701943337917,61.4622485000873,0.48689614655842567,151672,0.8801650404930115,0.25304771680384874,0.08889131677367769,0.19251254311980004,support
0.29200405721056766,arm_n_base,0.9134516676266988,57.25138391600922,0.4410914588690372,151673,0.8675211270650228,0.2230236570040385,0.1805407759923443,0.3451465080880022,support
0.37275419313262426,arm_n_base,0.9134820977846781,58.15680495800916,0.46475520804828696,151674,0.866904330253601,0.20621485710144044,0.11850955339209768,0.3412942115257037,support
0.3434094096526856,arm_n_base,0.9104668157441276,60.052834875066765,0.46326343669042463,151675,0.8582456026758466,0.2569431960582733,0.1920530718728554,0.31937106233377277,support
0.27924108563057887,arm_n_base,0.9150138454777854,57.49118695803918,0.43118255387485716,151676,0.8641383392470223,0.22790399832384928,0.1283176554826857,0.24669645263755433,support
0.42141284355615966,arm_n_input_smoothing,0.8383292345439687,73.42748775007203,0.5215908741551041,151507,0.7662846025298623,0.1403418687336585,0.25274280655420084,0.2898408209272392,support
0.34906670342648205,arm_n_input_smoothing,0.8411322269174788,78.87227683293168,0.46352511492469234,151508,0.7770203484429253,0.12397887681921323,0.08583084154333923,0.3141230596761641,support
0.51590577859416,arm_n_input_smoothing,0.8390469990278545,85.20273862499744,0.5710194900883803,151509,0.7692755586222598,0.1451802073340667,0.31985550132645485,0.47577565840335545,support
0.4272087378257105,arm_n_input_smoothing,0.8343660566541884,81.10759687493555,0.5266776793566479,151510,0.7669789062605964,0.13371865285767448,0.328318963757531,0.28933429317352927,sum
0.4287175144754051,arm_n_input_smoothing,0.8397255579630534,63.71520524995867,0.5202116709678628,151669,0.7693584720293681,0.13242916166782379,-0.01632334592044005,0.3741605372756977,support
0.3990112170751294,arm_n_input_smoothing,0.8362445150102887,57.78072529193014,0.45462012014835335,151670,0.761750408581325,0.13474794690098083,-0.008067338719121566,0.26884710967498066,support
0.5131160058702148,arm_n_input_smoothing,0.8444292359054089,68.7889485420892,0.5942275816047922,151671,0.765616275370121,0.13146088551729918,0.09547870612974402,0.4828124117860065,support
0.40932919129936196,arm_n_input_smoothing,0.84171586856246,67.61573849990964,0.5111939364403236,151672,0.7658221758902073,0.16161220520734787,0.053295500917328605,0.5603269706472545,support
0.42354627929702876,arm_n_input_smoothing,0.7751575152079264,62.93201370793395,0.5548740109692631,151673,0.7149521867434184,0.13716151813666025,0.17382317996265467,0.4001071794975664,support
0.3440858487042698,arm_n_input_smoothing,0.777695647875468,66.04218258301262,0.4615500109829883,151674,0.7144012729326884,0.13046454936265944,0.22631227977435284,0.3250053264395177,support
0.3626421015231107,arm_n_input_smoothing,0.7887016875403268,66.90390187501907,0.5010273968606509,151675,0.719465298312051,0.15830292233398982,0.1606721817983032,0.38534763846268755,support
0.27894018303136603,arm_n_input_smoothing,0.7888623816626412,62.91640520805959,0.42891440307052936,151676,0.7222910097667149,0.13903193601540156,0.2074165276879778,0.383234900041108,support
0.4182197394146607,arm_n_latent_smoothing,0.930860393187579,76.91341658402234,0.5208088637443651,151507,0.8828496371998507,0.22265671631869147,0.03413945229941378,0.2453210746689397,support
0.3191290000261775,arm_n_latent_smoothing,0.9381394253836738,77.19236124993768,0.43939069878574943,151508,0.894955144988166,0.19873543663157356,0.06198811005853621,0.4144521697431461,support
0.3851034186775595,arm_n_latent_smoothing,0.9307529518478795,87.73779304197524,0.5006153114587296,151509,0.8841822994382758,0.22049862381659055,0.3072294367556936,0.2851895642528044,sum
0.45779012234848077,arm_n_latent_smoothing,0.9305285149150424,84.98502287489828,0.5589507066530149,151510,0.8843318290180631,0.21487554576661852,0.2638871486393331,0.44599457827194305,support
0.38531237809574903,arm_n_latent_smoothing,0.9333635727564494,66.59656574996188,0.5207463023617578,151669,0.8883790095647176,0.21058602233727772,-0.005109695404455603,0.2903724295235584,support
0.3387058114795384,arm_n_latent_smoothing,0.9301078234400068,65.50349170900881,0.40928942870462864,151670,0.8822627706187112,0.21136308354990824,-0.050934378778013024,0.19644661723087994,support
0.49421168824717804,arm_n_latent_smoothing,0.9344157576560974,82.73259949998464,0.5953518100345583,151671,0.8865608349442482,0.20413960423320532,0.03209456232244508,0.479534794059723,support
0.3725468616687967,arm_n_latent_smoothing,0.9295701943337917,73.54591450002044,0.5205306753283103,151672,0.8801650404930115,0.25304771680384874,0.08932878170212445,0.33806204012350777,support
0.3791633811707689,arm_n_latent_smoothing,0.9134516676266988,64.82749170809984,0.5217998900628555,151673,0.8675211270650228,0.2230236570040385,0.18921729456617173,0.4394682506769202,support
0.38159199983866565,arm_n_latent_smoothing,0.9134820977846781,65.76577395806089,0.505183529132878,151674,0.866904330253601,0.20621485710144044,0.24157854645784627,0.38145757544940656,support
0.3968131575081264,arm_n_latent_smoothing,0.9104668157441276,62.44208237505518,0.526359153080732,151675,0.8582456026758466,0.2569431960582733,0.21957018220696997,0.31107683610177395,support
0.2991561841819597,arm_n_latent_smoothing,0.9150138454777854,65.00621004099958,0.44823176885651295,151676,0.8641383392470223,0.22790399832384928,0.19077451181020258,0.3504617244900572,support
